(847, 50), (847, 47), (867, 47), (867, 50)
(845, 67), (843, 66), (848, 46), (851, 47)
(832, 70), (831, 67), (845, 63), (846, 66)
(831, 44), (834, 44), (834, 69), (831, 69)
(819, 47), (819, 44), (834, 44), (834, 47)
(809, 60), (807, 58), (821, 44), (823, 46)
(795, 59), (795, 56), (810, 56), (810, 59)
(785, 72), (783, 70), (797, 56), (799, 58)
(914, 281), (917, 281), (917, 296), (914, 296)
(1206, 63), (1209, 63), (1209, 88), (1206, 88)
(870, 71), (870, 68), (890, 68), (890, 71)
(864, 47), (867, 46), (873, 71), (870, 71)
(861, 284), (859, 282), (870, 271), (872, 274)
(868, 275), (868, 272), (908, 272), (908, 275)
(904, 274), (907, 271), (917, 282), (915, 284)
(863, 296), (860, 296), (860, 281), (863, 281)
(112, 284), (115, 284), (115, 304), (112, 304)
(90, 287), (90, 284), (115, 284), (115, 287)
(154, 301), (157, 301), (157, 316), (154, 316)
(112, 304), (112, 301), (157, 301), (157, 304)
(154, 316), (154, 313), (199, 313), (199, 316)
(196, 313), (199, 313), (199, 366), (196, 366)
(646, 175), (646, 178), (561, 178), (561, 175)
(564, 178), (561, 178), (561, 163), (564, 163)
(393, 277), (396, 276), (401, 293), (398, 294)
(372, 279), (372, 276), (397, 276), (397, 279)
(365, 288), (363, 286), (373, 276), (375, 278)
(351, 288), (351, 285), (366, 285), (366, 288)
(351, 278), (354, 278), (354, 288), (351, 288)
(339, 281), (339, 278), (354, 278), (354, 281)
(342, 368), (339, 368), (339, 278), (342, 278)
(524, 365), (524, 368), (339, 368), (339, 365)
(1337, 78), (1337, 75), (1356, 71), (1357, 74)
(1455, 56), (1452, 57), (1443, 23), (1446, 22)
(1447, 22), (1447, 25), (1337, 25), (1337, 22)
(1337, 22), (1340, 22), (1340, 77), (1337, 77)
(1370, 89), (1370, 86), (1400, 86), (1400, 89)
(1398, 90), (1397, 87), (1427, 70), (1429, 72)
(1428, 73), (1425, 73), (1425, 53), (1428, 53)
(1425, 56), (1425, 53), (1455, 53), (1455, 56)
(652, 277), (652, 280), (594, 280), (594, 277)
(1250, 63), (1253, 63), (1253, 83), (1250, 83)
(509, 282), (511, 280), (525, 294), (523, 296)
(521, 293), (524, 293), (524, 368), (521, 368)
(826, 369), (823, 369), (823, 293), (826, 293)
(470, 270), (473, 270), (473, 290), (470, 290)
(470, 290), (470, 287), (485, 287), (485, 290)
(483, 290), (481, 288), (494, 280), (496, 283)
(492, 284), (492, 281), (512, 281), (512, 284)
(397, 293), (397, 290), (422, 290), (422, 293)
(594, 367), (594, 364), (671, 364), (671, 367)
(431, 285), (428, 285), (428, 270), (431, 270)
(428, 273), (428, 270), (473, 270), (473, 273)
(914, 296), (914, 293), (954, 293), (954, 296)
(594, 277), (597, 277), (597, 367), (594, 367)
(953, 366), (953, 369), (823, 369), (823, 366)
(951, 293), (954, 293), (953, 369), (950, 369)
(1370, 49), (1373, 49), (1373, 89), (1370, 89)
(1353, 52), (1353, 49), (1373, 49), (1373, 52)
(1356, 74), (1353, 74), (1353, 49), (1356, 49)
(1267, 285), (1267, 288), (1241, 287), (1241, 284)
(199, 363), (199, 366), (24, 366), (24, 363)
(909, 71), (909, 68), (953, 68), (953, 71)
(909, 51), (912, 51), (912, 71), (909, 71)
(24, 314), (24, 311), (44, 311), (44, 314)
(890, 71), (887, 71), (887, 51), (890, 51)
(887, 54), (887, 51), (912, 51), (912, 54)
(756, 14), (756, 11), (951, 11), (951, 14)
(1144, 283), (1146, 285), (1129, 303), (1127, 300)
(1039, 297), (1040, 294), (1062, 306), (1060, 309)
(1058, 308), (1058, 305), (1073, 305), (1073, 308)
(1070, 307), (1072, 305), (1089, 323), (1087, 325)
(1086, 321), (1089, 321), (1089, 371), (1086, 371)
(1089, 368), (1089, 371), (1039, 371), (1039, 368)
(1042, 371), (1039, 371), (1039, 294), (1042, 294)
(726, 296), (726, 293), (786, 293), (786, 296)
(1415, 265), (1418, 265), (1418, 367), (1415, 367)
(1465, 290), (1462, 290), (1462, 265), (1465, 265)
(1465, 265), (1465, 268), (1415, 268), (1415, 265)
(275, 160), (278, 158), (295, 188), (293, 190)
(293, 186), (295, 187), (278, 217), (275, 215)
(244, 162), (244, 159), (279, 159), (279, 162)
(279, 214), (279, 217), (244, 217), (244, 214)
(1039, 15), (1039, 12), (1129, 12), (1129, 15)
(953, 71), (950, 71), (948, 11), (951, 11)
(355, 67), (355, 64), (415, 64), (415, 67)
(348, 76), (346, 74), (357, 63), (359, 65)
(1198, 300), (1196, 303), (1178, 285), (1180, 283)
(1197, 369), (1194, 369), (1194, 299), (1197, 299)
(1127, 369), (1127, 366), (1197, 366), (1197, 369)
(1127, 299), (1130, 299), (1130, 369), (1127, 369)
(335, 75), (335, 72), (350, 72), (350, 75)
(335, 10), (338, 10), (338, 75), (335, 75)
(1182, 283), (1182, 286), (1143, 286), (1143, 283)
(1480, 367), (1477, 367), (1477, 342), (1480, 342)
(1415, 367), (1415, 364), (1480, 364), (1480, 367)
(1480, 344), (1477, 345), (1462, 287), (1465, 286)
(1126, 12), (1129, 12), (1129, 82), (1126, 82)
(1127, 79), (1130, 80), (1120, 98), (1117, 96)
(1121, 94), (1121, 97), (1086, 97), (1086, 94)
(1089, 96), (1087, 98), (1066, 68), (1069, 66)
(1070, 66), (1070, 69), (1040, 69), (1040, 66)
(1039, 12), (1042, 12), (1043, 69), (1040, 69)
(1184, 16), (1187, 16), (1187, 66), (1184, 66)
(1184, 66), (1184, 63), (1209, 63), (1209, 66)
(671, 367), (668, 367), (668, 297), (671, 297)
(1244, 369), (1241, 369), (1241, 284), (1244, 284)
(643, 163), (646, 163), (646, 178), (643, 178)
(561, 166), (561, 163), (646, 163), (646, 166)
(524, 11), (524, 14), (484, 14), (484, 11)
(484, 11), (487, 11), (488, 97), (485, 97)
(980, 167), (980, 164), (1000, 164), (1000, 167)
(441, 75), (438, 75), (438, 10), (441, 10)
(441, 10), (441, 13), (336, 13), (336, 10)
(421, 75), (421, 72), (441, 72), (441, 75)
(411, 65), (414, 63), (424, 74), (422, 76)
(996, 165), (999, 163), (1016, 194), (1014, 195)
(823, 296), (823, 293), (863, 293), (863, 296)
(1223, 66), (1223, 63), (1253, 63), (1253, 66)
(1226, 88), (1223, 88), (1223, 63), (1226, 63)
(1206, 88), (1206, 85), (1226, 85), (1226, 88)
(27, 366), (24, 366), (24, 311), (27, 311)
(1250, 83), (1250, 80), (1280, 80), (1280, 83)
(44, 314), (41, 314), (41, 299), (44, 299)
(41, 302), (41, 299), (56, 299), (56, 302)
(53, 299), (56, 299), (56, 309), (53, 309)
(53, 309), (53, 306), (93, 306), (93, 309)
(93, 309), (90, 309), (90, 284), (93, 284)
(1279, 16), (1279, 19), (1184, 19), (1184, 16)
(1280, 83), (1277, 83), (1276, 16), (1279, 16)
(487, 97), (484, 95), (523, 56), (525, 58)
(521, 11), (524, 11), (524, 60), (521, 60)
(594, 13), (594, 10), (719, 10), (719, 13)
(718, 46), (720, 49), (702, 66), (700, 64)
(716, 10), (719, 10), (719, 50), (716, 50)
(782, 294), (785, 292), (802, 310), (800, 312)
(799, 308), (802, 308), (802, 368), (799, 368)
(728, 292), (730, 294), (712, 312), (710, 310)
(710, 308), (713, 308), (713, 368), (710, 368)
(710, 368), (710, 365), (802, 365), (802, 368)
(90, 40), (88, 38), (105, 8), (108, 10)
(113, 70), (111, 72), (88, 38), (90, 36)
(109, 71), (109, 68), (199, 68), (199, 71)
(196, 9), (199, 9), (199, 69), (196, 69)
(104, 12), (104, 9), (199, 9), (199, 12)
(227, 187), (230, 186), (247, 216), (245, 217)
(634, 62), (634, 65), (594, 65), (594, 62)
(672, 299), (669, 301), (649, 279), (651, 277)
(594, 10), (597, 10), (597, 65), (594, 65)
(245, 158), (247, 160), (230, 190), (227, 188)
(703, 63), (703, 66), (653, 66), (653, 63)
(656, 66), (653, 66), (653, 46), (656, 46)
(656, 46), (656, 49), (636, 49), (636, 46)
(637, 45), (640, 46), (634, 65), (631, 64)
(756, 11), (759, 11), (759, 71), (756, 71)
(756, 71), (756, 68), (786, 68), (786, 71)
(968, 195), (965, 194), (980, 163), (983, 165)
(1016, 192), (1016, 195), (966, 195), (966, 192)
(1267, 295), (1264, 295), (1264, 285), (1267, 285)
(1309, 312), (1306, 312), (1306, 292), (1309, 292)
(1309, 292), (1309, 295), (1264, 295), (1264, 292)
(1366, 369), (1363, 369), (1363, 309), (1366, 309)
(1366, 309), (1366, 312), (1306, 312), (1306, 309)
(1241, 369), (1241, 366), (1366, 366), (1366, 369)
(421, 294), (419, 292), (429, 281), (431, 283)
